gvkey,fyear,Rank,Name,Country
925263,2021,176,Guangzhou Automobile Industry Group,CN
275850,2021,177,China National Building Material Group,CN
143356,2021,178,Prudential Financial,US
220833,2021,179,Airbus,NL
252940,2021,180,Mitsubishi UFJ Financial Group,JP
241501,2021,181,Petrobras,BR
5606,2021,182,HP,US
10983,2021,183,Raytheon Technologies,US
204222,2021,184,SoftBank Group,JP
15782,2021,185,Prudential PLC,GB
225597,2021,186,Fortum,FI
100688,2021,187,Tokyo Electric Power,JP
273961,2021,188,Seven & I Holdings,JP
,2021,189,XMXYG,CN
31521,2021,190,StoneX,US
,2021,191,Alimentation Couche-Tard,CA
251303,2021,192,LG Electronics,KR
114628,2021,193,Goldman Sachs Group,US
324126,2021,194,China Everbright Group,CN
269556,2021,195,Rosneft Oil,RU
282483,2021,196,Industrial Bank,CN
65248,2021,197,ArcelorMittal,LU
146352,2021,198,Aluminum Corp. of China,CN
10247,2021,199,Sysco,US
243868,2021,200,HBIS Group,CN
243829,2021,201,Shanghai Pudong Development Bank,CN
275108,2021,202,JBS,BR
15784,2021,203,Société Générale,FR
12124,2021,204,Morgan Stanley,US
203666,2021,205,State Bank of India,IN
249399,2021,206,PTT,TH
22260,2021,207,HCA Healthcare,US
15659,2021,208,Tokio Marine Holdings,JP
14894,2021,209,Vodafone Group,GB
201260,2021,210,Christian Dior,FR
246116,2021,211,Wilmar International,SG
212777,2021,212,Indian Oil,IN
295735,2021,213,AIA Group,CN
102296,2021,214,Vinci,FR
104606,2021,215,Kia,KR
61616,2021,216,ENI,IT
201584,2021,217,KDDI,JP
101310,2021,218,Novartis,CH
210479,2021,219,Renault,FR
317057,2021,220,Shaanxi Coal & Chemical Industry,CN
20779,2021,221,Cisco Systems,US
296299,2021,222,Korea Electric Power,KR
13683,2021,223,Telefónica,ES
249482,2021,224,China Minsheng Banking,CN
203024,2021,225,Jiangxi Copper,CN
104598,2021,226,POSCO,KR
100080,2021,227,Bayer,DE
,2021,228,Power Corp. of Canada,CA
220940,2021,229,Orange,FR
126136,2021,230,Charter Communications,US
273240,2021,231,COSCO Shipping,CN
7257,2021,232,Merck,US
,2021,233,ELO Group,FR
272126,2021,234,Shaanxi Yanchang Petroleum (Group),CN
294932,2021,235,Pegatron,TW
241637,2021,236,Anheuser-Busch InBev,BE
142248,2021,237,América Móvil,MX
2184,2021,238,Best Buy,US
,2021,239,Zhejiang Geely Holding Group,CN
,2021,240,China State Shipbuilding,CN
269809,2021,241,Talanx,DE
127774,2021,242,New York Life Insurance,US
208175,2021,243,Oil & Natural Gas,IN
19112,2021,244,Denso,JP
15779,2021,245,MS&AD Insurance Group Holdings,JP
220546,2021,246,Equinor,NO
16101,2021,247,AbbVie,US
30747,2021,248,China Huaneng Group,CN
100155,2021,249,Nippon Steel Corporation,JP
,2021,250,Royal Bank of Canada,CA
,2021,251,Taiwan Semiconductor Manufacturing,TW
221614,2021,252,Deutsche Bahn,DE
,2021,253,Publix Super Markets,US
28349,2021,254,Allstate,US
323298,2021,255,Zhejiang Rongsheng Holding Group,CN
19565,2021,256,Rio Tinto Group,GB
163537,2021,257,Pemex,MX
,2021,258,Accenture,IE
,2021,259,Edeka Zentrale,DE
137066,2021,260,China United Network Communications,CN
101846,2021,261,Sumitomo,JP
122575,2021,262,Liberty Mutual Insurance Group,US
1487,2021,263,American International Group,US
5180,2021,264,GlaxoSmithKline,GB
,2021,265,Groupe BPCE,FR
101811,2021,266,Saint-Gobain,FR
15929,2021,267,Lloyds Banking Group,GB
63546,2021,268,Swiss Re,CH
221682,2021,269,Sberbank,RU
10793,2021,270,Tyson Foods,US
210722,2021,271,Hanwha,KR
100609,2021,272,Continental,DE
13312,2021,273,BHP Group,AU
100894,2021,274,Woolworths Group,AU
13341,2021,275,Progressive,US
101204,2021,276,Sanofi,FR
295951,2021,277,Petronas,MY
2403,2021,278,Bristol-Myers Squibb,US
,2021,279,Tsingshan Holding Group,CN
30515,2021,280,Nationwide,US
8530,2021,281,Pfizer,US
,2021,282,Shandong Weiqiao Pioneering Group,CN
2817,2021,283,Caterpillar,US
272242,2021,284,Sinomach,CN
,2021,285,TIAA,US
,2021,286,Ingka Group,NL
355999,2021,287,Pertamina,ID
316100,2021,288,Midea Group,CN
144435,2021,289,Bunge,US
212782,2021,290,Fresenius,DE
16348,2021,291,Intesa Sanpaolo,IT
100332,2021,292,George Weston,CA
,2021,293,State Power Investment,CN
209382,2021,294,Vale,BR
