gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,conm,curcd,at,emp,revt,costat,naics
001487,2021-12-31,2021,FS,C,D,STD,AMERICAN INTERNATIONAL GROUP,USD,596112.0000,36.6000,52521.0000,A,524126
001487,2021-12-31,2021,INDL,C,D,STD,AMERICAN INTERNATIONAL GROUP,USD,596112.0000,36.6000,52046.0000,A,524126
001487,2022-12-31,2022,FS,C,D,STD,AMERICAN INTERNATIONAL GROUP,USD,526634.0000,26.2000,56879.0000,A,524126
001487,2022-12-31,2022,INDL,C,D,STD,AMERICAN INTERNATIONAL GROUP,USD,526634.0000,26.2000,56332.0000,A,524126
001487,2023-12-31,2023,FS,C,D,STD,AMERICAN INTERNATIONAL GROUP,USD,539306.0000,25.2000,48230.0000,A,524126
001487,2023-12-31,2023,INDL,C,D,STD,AMERICAN INTERNATIONAL GROUP,USD,539306.0000,25.2000,46682.0000,A,524126
001602,2015-12-31,2015,INDL,C,D,STD,AMGEN INC,USD,71576.0000,17.9000,21662.0000,A,325414
001602,2016-12-31,2016,INDL,C,D,STD,AMGEN INC,USD,77626.0000,19.2000,22991.0000,A,325414
001602,2017-12-31,2017,INDL,C,D,STD,AMGEN INC,USD,79954.0000,20.8000,22849.0000,A,325414
001602,2018-12-31,2018,INDL,C,D,STD,AMGEN INC,USD,66416.0000,21.5000,23747.0000,A,325414
001602,2019-12-31,2019,INDL,C,D,STD,AMGEN INC,USD,59707.0000,23.4000,23362.0000,A,325414
001602,2020-12-31,2020,INDL,C,D,STD,AMGEN INC,USD,62948.0000,24.3000,25424.0000,A,325414
001602,2021-12-31,2021,INDL,C,D,STD,AMGEN INC,USD,61165.0000,24.2000,25979.0000,A,325414
001602,2022-12-31,2022,INDL,C,D,STD,AMGEN INC,USD,65121.0000,25.2000,26323.0000,A,325414
001602,2023-12-31,2023,INDL,C,D,STD,AMGEN INC,USD,97154.0000,26.7000,28190.0000,A,325414
001690,2015-09-30,2015,INDL,C,D,STD,APPLE INC,USD,290479.0000,110.0000,233715.0000,A,334220
001690,2016-09-30,2016,INDL,C,D,STD,APPLE INC,USD,321686.0000,116.0000,215091.0000,A,334220
001690,2017-09-30,2017,INDL,C,D,STD,APPLE INC,USD,375319.0000,123.0000,229234.0000,A,334220
001690,2018-09-30,2018,INDL,C,D,STD,APPLE INC,USD,365725.0000,132.0000,265359.0000,A,334220
001690,2019-09-30,2019,INDL,C,D,STD,APPLE INC,USD,338516.0000,137.0000,260174.0000,A,334220
001690,2020-09-30,2020,INDL,C,D,STD,APPLE INC,USD,323888.0000,147.0000,274515.0000,A,334220
001690,2021-09-30,2021,INDL,C,D,STD,APPLE INC,USD,351002.0000,154.0000,365817.0000,A,334220
001690,2022-09-30,2022,INDL,C,D,STD,APPLE INC,USD,352755.0000,164.0000,394328.0000,A,334220
001690,2023-09-30,2023,INDL,C,D,STD,APPLE INC,USD,352583.0000,161.0000,383285.0000,A,334220
001722,2015-12-31,2015,INDL,C,D,STD,ARCHER-DANIELS-MIDLAND CO,USD,40157.0000,32.3000,67702.0000,A,31122
001722,2016-12-31,2016,INDL,C,D,STD,ARCHER-DANIELS-MIDLAND CO,USD,39769.0000,31.8000,62346.0000,A,31122
001722,2017-12-31,2017,INDL,C,D,STD,ARCHER-DANIELS-MIDLAND CO,USD,39963.0000,31.3000,60828.0000,A,31122
001722,2018-12-31,2018,INDL,C,D,STD,ARCHER-DANIELS-MIDLAND CO,USD,40833.0000,31.6000,64341.0000,A,31122
001722,2019-12-31,2019,INDL,C,D,STD,ARCHER-DANIELS-MIDLAND CO,USD,43997.0000,38.1000,64656.0000,A,31122
001722,2020-12-31,2020,INDL,C,D,STD,ARCHER-DANIELS-MIDLAND CO,USD,49719.0000,39.0880,64355.0000,A,31122
001722,2021-12-31,2021,INDL,C,D,STD,ARCHER-DANIELS-MIDLAND CO,USD,56136.0000,40.7390,85249.0000,A,31122
001722,2022-12-31,2022,INDL,C,D,STD,ARCHER-DANIELS-MIDLAND CO,USD,59774.0000,42.0010,101556.0000,A,31122
001722,2023-12-31,2023,INDL,C,D,STD,ARCHER-DANIELS-MIDLAND CO,USD,54631.0000,41.8020,93935.0000,A,31122
001773,2015-12-31,2015,INDL,C,D,STD,ARROW ELECTRONICS INC,USD,13021.9300,18.5000,23282.0200,A,423690
001773,2016-12-31,2016,INDL,C,D,STD,ARROW ELECTRONICS INC,USD,14206.3660,18.7000,23825.2610,A,423690
001773,2017-12-31,2017,INDL,C,D,STD,ARROW ELECTRONICS INC,USD,16462.8090,18.8000,26812.5080,A,423690
001773,2018-12-31,2018,INDL,C,D,STD,ARROW ELECTRONICS INC,USD,17784.4450,20.1000,29676.7680,A,423690
001773,2019-12-31,2019,INDL,C,D,STD,ARROW ELECTRONICS INC,USD,16400.7960,19.3000,28916.8470,A,423690
001773,2020-12-31,2020,INDL,C,D,STD,ARROW ELECTRONICS INC,USD,17053.9110,19.6000,28673.3630,A,423690
001773,2021-12-31,2021,INDL,C,D,STD,ARROW ELECTRONICS INC,USD,19535.5400,20.7000,34477.0180,A,423690
001773,2022-12-31,2022,INDL,C,D,STD,ARROW ELECTRONICS INC,USD,21763.1820,22.3000,37124.4220,A,423690
001773,2023-12-31,2023,INDL,C,D,STD,ARROW ELECTRONICS INC,USD,21726.1680,22.1000,33107.1200,A,423690
002184,2015-01-31,2014,INDL,C,D,STD,BEST BUY CO INC,USD,15256.0000,125.0000,40339.0000,A,449210
002184,2016-01-31,2015,INDL,C,D,STD,BEST BUY CO INC,USD,13519.0000,125.0000,39528.0000,A,449210
002184,2017-01-31,2016,INDL,C,D,STD,BEST BUY CO INC,USD,13856.0000,125.0000,39403.0000,A,449210
002184,2018-01-31,2017,INDL,C,D,STD,BEST BUY CO INC,USD,13049.0000,125.0000,42151.0000,A,449210
