fic,costat,datafmt,indfmt,consol,gvkey,datadate,conm,exchg,naics,dlc,dltt,emp,oiadp,prc,revt,sale,cshoi,nicon,ninc
AUS,A,HIST_STD,INDL,C,013312,2015-06-30,BHP GROUP LTD,106,212,3201.0000,27969.0000,29.6700,11535.0000,0.0000,44636.0000,44636.0000,3210.85200,3422.00000,
AUS,A,HIST_STD,INDL,C,013312,2016-06-30,BHP GROUP LTD,106,212,4653.0000,31768.0000,26.8270,2802.0000,0.0000,30912.0000,30912.0000,3211.16000,-6385.00000,
AUS,A,HIST_STD,INDL,C,013312,2017-06-30,BHP GROUP LTD,106,212,1241.0000,29233.0000,26.1460,11487.0000,0.0000,38285.0000,38285.0000,3212.00000,5890.00000,
AUS,A,HIST_STD,INDL,C,013312,2018-06-30,BHP GROUP LTD,106,212,2736.0000,24069.0000,27.1610,15747.0000,0.0000,43638.0000,43638.0000,3211.49400,6626.00000,
AUS,A,HIST_STD,INDL,C,013312,2019-06-30,BHP GROUP LTD,106,212,1661.0000,23167.0000,28.9260,16541.0000,0.0000,44288.0000,44288.0000,2944.70300,8641.00000,
AUS,A,HIST_STD,INDL,C,013312,2020-06-30,BHP GROUP LTD,106,212,5012.0000,22036.0000,31.5890,14727.0000,0.0000,42931.0000,42931.0000,2945.62100,7956.00000,
AUS,A,HIST_STD,INDL,C,013312,2021-06-30,BHP GROUP LTD,106,212,2628.0000,18355.0000,40.1100,29319.0000,0.0000,60817.0000,60817.0000,2944.98200,11304.00000,
AUS,A,HIST_STD,INDL,C,013312,2022-06-30,BHP GROUP LTD,106,212,2622.0000,13806.0000,45.2950,32940.0000,0.0000,65098.0000,65098.0000,5061.27200,20245.00000,
AUS,A,HIST_STD,INDL,C,013312,2023-06-30,BHP GROUP LTD,106,212,7173.0000,15172.0000,40.2270,21582.0000,0.0000,53817.0000,53817.0000,5064.40900,12921.00000,
AUS,A,HIST_STD,INDL,C,013312,2024-06-30,BHP GROUP LTD,106,212,2084.0000,18634.0000,38.9620,22771.0000,0.0000,55658.0000,55658.0000,5070.27300,7897.00000,
AUS,A,HIST_STD,INDL,C,013312,2025-06-30,BHP GROUP LTD,106,212,2018.0000,22478.0000,39.3690,19240.0000,0.0000,51262.0000,51262.0000,5075.29100,9019.00000,
GBR,A,HIST_STD,INDL,C,015508,2014-12-31,ANGLO AMERICAN PLC,194,212,1618.0000,16917.0000,95.0000,4271.0000,0.0000,27073.0000,27073.0000,1280.00600,-2513.00000,
GBR,A,HIST_STD,INDL,C,015508,2015-12-31,ANGLO AMERICAN PLC,194,212,1649.0000,16318.0000,128.0000,1364.0000,0.0000,20455.0000,20455.0000,1284.52700,-5624.00000,
GBR,A,HIST_STD,INDL,C,015508,2016-12-31,ANGLO AMERICAN PLC,194,212,1806.0000,11363.0000,95.0000,3254.0000,0.0000,21378.0000,21378.0000,1278.49900,1594.00000,
GBR,A,HIST_STD,INDL,C,015508,2017-12-31,ANGLO AMERICAN PLC,194,212,1351.0000,10620.0000,69.0000,5191.0000,0.0000,26243.0000,26243.0000,1269.97100,3166.00000,
GBR,A,HIST_STD,INDL,C,015508,2018-12-31,ANGLO AMERICAN PLC,194,212,600.0000,8371.0000,64.0000,5061.0000,0.0000,27610.0000,27610.0000,1266.74300,3549.00000,
GBR,A,HIST_STD,INDL,C,015508,2019-12-31,ANGLO AMERICAN PLC,194,212,990.0000,9744.0000,60.0000,6290.0000,0.0000,29870.0000,29870.0000,1242.26800,3547.00000,
GBR,A,HIST_STD,INDL,C,015508,2020-12-31,ANGLO AMERICAN PLC,194,212,1194.0000,12317.0000,95.0000,6629.0000,0.0000,30902.0000,30902.0000,1238.75700,2089.00000,
GBR,A,HIST_STD,INDL,C,015508,2021-12-31,ANGLO AMERICAN PLC,194,212,1235.0000,11621.0000,106.0000,17198.0000,0.0000,41554.0000,41554.0000,1218.22100,8562.00000,
GBR,A,HIST_STD,INDL,C,015508,2022-12-31,ANGLO AMERICAN PLC,194,212,1420.0000,12945.0000,105.0000,10896.0000,0.0000,35118.0000,35118.0000,1212.96000,4514.00000,
GBR,A,HIST_STD,INDL,C,015508,2023-12-31,ANGLO AMERICAN PLC,194,212,1740.0000,15172.0000,,6534.0000,0.0000,30652.0000,30652.0000,1212.33200,283.00000,
GBR,A,HIST_STD,INDL,C,015508,2024-12-31,ANGLO AMERICAN PLC,194,212,2019.0000,16191.0000,55.5420,4924.0000,0.0000,27290.0000,27290.0000,1213.39300,-3068.00000,
GBR,A,HIST_STD,INDL,C,019565,2014-12-31,RIO TINTO GROUP,194,212,2664.0000,22411.0000,60.0000,12718.0000,0.0000,47664.0000,47664.0000,1414.14700,6527.00000,
GBR,A,HIST_STD,INDL,C,019565,2015-12-31,RIO TINTO GROUP,194,212,2253.0000,20810.0000,54.8880,4019.0000,0.0000,34829.0000,34829.0000,1374.04600,-866.00000,
GBR,A,HIST_STD,INDL,C,019565,2016-12-31,RIO TINTO GROUP,194,212,717.0000,16913.0000,51.0180,5993.0000,0.0000,33781.0000,33781.0000,1374.82200,4617.00000,
GBR,A,HIST_STD,INDL,C,019565,2017-12-31,RIO TINTO GROUP,194,212,552.0000,14624.0000,46.8070,11591.0000,0.0000,40030.0000,40030.0000,1342.05800,8762.00000,
GBR,A,HIST_STD,INDL,C,019565,2018-12-31,RIO TINTO GROUP,194,212,312.0000,12440.0000,47.4580,12482.0000,0.0000,40522.0000,40522.0000,1276.37200,13638.00000,
GBR,A,HIST_STD,INDL,C,019565,2019-12-31,RIO TINTO GROUP,194,212,1022.0000,13093.0000,46.0000,13443.0000,0.0000,43165.0000,43165.0000,1249.05800,8010.00000,
GBR,A,HIST_STD,INDL,C,019565,2020-12-31,RIO TINTO GROUP,194,212,584.0000,13247.0000,47.5000,16905.0000,0.0000,44611.0000,44611.0000,1246.58900,9769.00000,
GBR,A,HIST_STD,INDL,C,019565,2021-12-31,RIO TINTO GROUP,194,212,1136.0000,12395.0000,49.0000,29428.0000,0.0000,63495.0000,63495.0000,1247.83400,21094.00000,
GBR,A,HIST_STD,INDL,C,019565,2022-12-31,RIO TINTO GROUP,194,212,1215.0000,11056.0000,54.0000,17945.0000,0.0000,55554.0000,55554.0000,1249.37300,12420.00000,
GBR,A,HIST_STD,INDL,C,019565,2023-12-31,RIO TINTO GROUP,194,212,1169.0000,13183.0000,57.0000,14867.0000,0.0000,54041.0000,54041.0000,1251.02100,10058.00000,
GBR,A,HIST_STD,INDL,C,019565,2024-12-31,RIO TINTO GROUP,194,212,534.0000,13321.0000,60.0000,13990.0000,0.0000,53658.0000,53658.0000,1252.64300,11552.00000,
CHN,A,HIST_STD,INDL,C,140756,2014-12-31,CHINA PETROLEUM & CHEMICAL,170,457120,178148.0000,150932.0000,358.5710,76292.0000,0.0000,2781641.0000,2781641.0000,25513.43900,46466.00000,
CHN,A,HIST_STD,INDL,C,140756,2015-12-31,CHINA PETROLEUM & CHEMICAL,170,457120,115446.0000,139746.0000,351.0190,58682.0000,0.0000,1976412.0000,1976412.0000,25513.43900,32438.00000,
CHN,A,HIST_STD,INDL,C,140756,2016-12-31,CHINA PETROLEUM & CHEMICAL,170,457120,74819.0000,117446.0000,451.6110,64004.0000,0.0000,1880190.0000,1880190.0000,25513.43900,46672.00000,
CHN,A,HIST_STD,INDL,C,140756,2017-12-31,CHINA PETROLEUM & CHEMICAL,170,457120,80649.0000,99124.0000,446.2250,81473.0000,0.0000,2300470.0000,2300470.0000,25513.43900,51244.00000,
CHN,A,HIST_STD,INDL,C,140756,2018-12-31,CHINA PETROLEUM & CHEMICAL,170,457120,61127.0000,93527.0000,423.5430,78742.0000,0.0000,2825613.0000,2825613.0000,25513.43900,61618.00000,
CHN,A,HIST_STD,INDL,C,140756,2019-12-31,CHINA PETROLEUM & CHEMICAL,170,457120,99008.0000,236456.0000,402.2060,81813.0000,0.0000,2900488.0000,2900488.0000,25513.43900,57465.00000,
CHN,A,HIST_STD,INDL,C,140756,2020-12-31,CHINA PETROLEUM & CHEMICAL,170,457120,44325.0000,256121.0000,384.0650,14312.0000,0.0000,2049456.0000,2049456.0000,25513.43900,33096.00000,
CHN,A,HIST_STD,INDL,C,140756,2021-12-31,CHINA PETROLEUM & CHEMICAL,170,457120,53298.0000,262223.0000,385.6910,117238.0000,0.0000,2740884.0000,2740884.0000,25513.43900,71208.00000,
CHN,A,HIST_STD,INDL,C,140756,2022-12-31,CHINA PETROLEUM & CHEMICAL,170,457120,82333.0000,274368.0000,374.7910,82226.0000,0.0000,3257356.0000,3257356.0000,24780.93700,66153.00000,
CHN,A,HIST_STD,INDL,C,140756,2023-12-31,CHINA PETROLEUM & CHEMICAL,170,457120,88507.0000,351724.0000,368.0090,85694.0000,0.0000,3146873.0000,3146873.0000,24377.28100,58310.00000,
CHN,A,HIST_STD,INDL,C,140756,2024-12-31,CHINA PETROLEUM & CHEMICAL,170,457120,110295.0000,365400.0000,355.9520,68083.0000,0.0000,3015321.0000,3015321.0000,,48939.00000,
RUS,A,HIST_STD,INDL,C,206454,2014-12-31,GAZPROM PJSC,332,324110,464782.0000,2224042.0000,450.0000,1197569.0000,0.0000,5477278.0000,5477278.0000,23000.00000,159004.00000,
RUS,A,HIST_STD,INDL,C,206454,2015-12-31,GAZPROM PJSC,332,324110,646372.0000,2795843.0000,462.4000,1276397.0000,0.0000,6073318.0000,6073318.0000,23000.00000,787056.00000,
RUS,A,HIST_STD,INDL,C,206454,2016-12-31,GAZPROM PJSC,332,324110,447080.0000,2382543.0000,467.4000,842464.0000,0.0000,6111051.0000,6111051.0000,22100.00000,951637.00000,
RUS,A,HIST_STD,INDL,C,206454,2017-12-31,GAZPROM PJSC,332,324110,874805.0000,2391713.0000,469.6000,869488.0000,0.0000,6546143.0000,6546143.0000,22100.00000,714302.00000,
RUS,A,HIST_STD,INDL,C,206454,2018-12-31,GAZPROM PJSC,332,324110,569061.0000,3294761.0000,466.1000,2038094.0000,0.0000,8224177.0000,8224177.0000,22127.00000,1456270.00000,
RUS,A,HIST_STD,INDL,C,206454,2019-12-31,GAZPROM PJSC,332,324110,816222.0000,3295195.0000,473.8000,1349947.0000,0.0000,7659623.0000,7659623.0000,23644.51300,1202887.00000,
RUS,A,HIST_STD,INDL,C,206454,2020-12-31,GAZPROM PJSC,332,324110,734986.0000,4425568.0000,477.6000,575427.0000,0.0000,6321559.0000,6321559.0000,23645.00000,133834.00000,
RUS,A,HIST_STD,INDL,C,206454,2021-12-31,GAZPROM PJSC,332,324110,750125.0000,4417286.0000,468.0000,2869328.0000,0.0000,10241353.0000,10241353.0000,23645.00000,2082484.00000,
RUS,A,HIST_STD,INDL,C,206454,2022-12-31,GAZPROM PJSC,332,324110,760855.0000,4576117.0000,,2946734.0000,0.0000,11673950.0000,11673950.0000,23645.00000,1208352.00000,
RUS,A,HIST_STD,INDL,C,206454,2023-12-31,GAZPROM PJSC,332,324110,1379509.0000,5670239.0000,,557271.0000,0.0000,8541818.0000,8541818.0000,23645.00000,-652012.00000,
RUS,A,HIST_STD,INDL,C,206454,2024-12-31,GAZPROM PJSC,332,324110,1523258.0000,5659427.0000,,1726973.0000,0.0000,10714686.0000,10714686.0000,23645.00000,1162077.00000,
RUS,A,HIST_STD,INDL,C,206457,2014-12-31,PJSC LUKOIL,332,324110,2168.0000,11361.0000,,8765.0000,0.0000,144167.0000,144167.0000,754.86600,4746.00000,
RUS,A,HIST_STD,INDL,C,206457,2015-12-31,PJSC LUKOIL,332,324110,60506.0000,799207.0000,,344805.0000,0.0000,5749050.0000,5749050.0000,712.93300,291135.00000,
RUS,A,HIST_STD,INDL,C,206457,2016-12-31,PJSC LUKOIL,332,324110,58429.0000,640161.0000,,409188.0000,0.0000,5227045.0000,5227045.0000,712.93300,206794.00000,
RUS,A,HIST_STD,INDL,C,206457,2017-12-31,PJSC LUKOIL,332,324110,128713.0000,487647.0000,,481429.0000,0.0000,5936705.0000,5936705.0000,709.63300,418805.00000,
RUS,A,HIST_STD,INDL,C,206457,2018-12-31,PJSC LUKOIL,332,324110,99625.0000,435422.0000,,760622.0000,0.0000,8035889.0000,8035889.0000,696.89300,619174.00000,
RUS,A,HIST_STD,INDL,C,206457,2019-12-31,PJSC LUKOIL,332,324110,130300.0000,422932.0000,101.3740,806584.0000,0.0000,7841246.0000,7841246.0000,652.88100,640178.00000,
RUS,A,HIST_STD,INDL,C,206457,2020-12-31,PJSC LUKOIL,332,324110,82636.0000,577075.0000,,228409.0000,0.0000,5507098.0000,5507098.0000,652.49900,15175.00000,
RUS,A,HIST_STD,INDL,C,206457,2021-12-31,PJSC LUKOIL,332,324110,80251.0000,677699.0000,,985019.0000,0.0000,9268485.0000,9268485.0000,650.34400,773442.00000,
